Game,Platform,Year,Genre,Time to Beat,Score,Status
1944: The Loop Master,Arcade,,,,,Backlog
8 Legs to Love,Pico 8,,,,,Backlog
A Plumber for All Seasons,Pico 8,,,,,Backlog
Action Fighter,Master System,,,,,Backlog
ActRaiser,SNES,,,,,Backlog
Advance Wars,Game Boy Advance,,,,,Backlog
Adventure Island IV,NES,,,,,Backlog
Adventure of Little Ralph,PlayStation,,,,,Backlog
Adventures of Yogi Bear,SNES,,,,,Beaten
Aero Fighters,SNES,,,,,Beaten
Aero Fighters 2,Neo Geo,,,,,Backlog
Aero Fighters 3,Neo Geo,,,,,Backlog
After Burner,NES,,,,,Backlog
After Burner,Master System,,,,,Backlog
Air Rescue,Master System,,,,,Beaten
Akira: Psycho Ball,PS2,,,,,Backlog
Alcahest,SNES,,,,,Backlog
Aleste,MSX,,,,,Backlog
Alex Kidd in Miracle World,NES,,,,,Backlog
Alex Kidd in Miracle World,Master System,,,,,Backlog
Alex Kidd In Shinobi World,Master System,,,,,Backlog
